"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (A)","IOKI 2_AV (A)","IOKI 2_MN (A)","IOKI 2_MX (A)","IOKI 2_SD (A)","IOKI 2_NUM (A)","IOKI 2_INT (A)","IOKI 2_IMN (A)","IOKI 2_IMX (A)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/30 23:01:30.246,n,-0.41592,-0.41591,-0.416809,-0.414852,0.000587,10,-4.160965,2025/01/30 23:01:27.002,2025/01/30 23:01:23.011,-0.280266,-0.280531,-0.281769,-0.279823,0.000625,10,-2.806058,2025/01/30 23:01:28.005,2025/01/30 23:01:21.002,5.027752,5.009542,4.901886,5.113886,0.084234,10,50.148492,2025/01/30 23:01:24.002,2025/01/30 23:01:29.009
2025/01/30 23:01:40.233,n,-0.415295,-0.415804,-0.417519,-0.414234,0.001116,10,-4.153091,2025/01/30 23:01:38.008,2025/01/30 23:01:31.003,-0.281948,-0.280682,-0.282127,-0.279293,0.000983,10,-2.802424,2025/01/30 23:01:35.008,2025/01/30 23:01:33.013,4.884203,5.00616,4.884203,5.099358,0.096063,10,50.072056,2025/01/30 23:01:40.002,2025/01/30 23:01:32.009
2025/01/30 23:01:50.236,n,-0.417339,-0.416025,-0.417339,-0.415119,0.000781,10,-4.160035,2025/01/30 23:01:50.004,2025/01/30 23:01:47.005,-0.279556,-0.280568,-0.281151,-0.279556,0.00057,10,-2.807409,2025/01/30 23:01:49.002,2025/01/30 23:01:50.004,4.936056,4.996838,4.863284,5.080857,0.083526,10,49.953208,2025/01/30 23:01:49.002,2025/01/30 23:01:41.006
2025/01/30 23:02:00.239,n,-0.415474,-0.416106,-0.416985,-0.415031,0.000671,10,-4.163316,2025/01/30 23:01:54.159,2025/01/30 23:01:51.010,-0.280884,-0.280673,-0.282299,-0.279823,0.000732,10,-2.806989,2025/01/30 23:01:52.002,2025/01/30 23:01:55.014,5.013387,4.93853,4.81916,5.056619,0.096442,10,49.354332,2025/01/30 23:01:59.002,2025/01/30 23:01:51.010
2025/01/30 23:02:10.241,n,-0.415386,-0.415812,-0.416718,-0.414852,0.000681,10,-4.159603,2025/01/30 23:02:07.011,2025/01/30 23:02:03.006,-0.280708,-0.280513,-0.282127,-0.279202,0.000906,10,-2.805936,2025/01/30 23:02:08.002,2025/01/30 23:02:04.011,5.025561,4.910254,4.816943,5.042037,0.097517,10,49.13572,2025/01/30 23:02:05.265,2025/01/30 23:02:07.011
2025/01/30 23:02:20.246,n,-0.41592,-0.41631,-0.41814,-0.414944,0.000949,10,-4.164057,2025/01/30 23:02:17.015,2025/01/30 23:02:11.002,-0.281151,-0.280416,-0.281151,-0.278759,0.000737,10,-2.804748,2025/01/30 23:02:18.003,2025/01/30 23:02:19.009,4.984734,4.892094,4.801327,5.029896,0.082987,10,48.954492,2025/01/30 23:02:15.004,2025/01/30 23:02:13.010
2025/01/30 23:02:30.234,n,-0.415386,-0.415946,-0.416893,-0.415386,0.000502,10,-4.155008,2025/01/30 23:02:22.002,2025/01/30 23:02:28.008,-0.279999,-0.280549,-0.281685,-0.279293,0.000846,10,-2.802874,2025/01/30 23:02:21.002,2025/01/30 23:02:26.012,4.972571,4.892242,4.795863,4.993554,0.090098,10,48.871016,2025/01/30 23:02:28.008,2025/01/30 23:02:23.013
2025/01/30 23:02:40.235,n,-0.416008,-0.415874,-0.416718,-0.414944,0.000575,10,-4.15898,2025/01/30 23:02:37.004,2025/01/30 23:02:35.010,-0.281242,-0.280674,-0.282742,-0.278851,0.001125,10,-2.806599,2025/01/30 23:02:32.012,2025/01/30 23:02:37.004,4.991352,4.855835,4.771577,4.991352,0.082062,10,48.549696,2025/01/30 23:02:31.005,2025/01/30 23:02:40.004
2025/01/30 23:02:50.239,n,-0.415562,-0.415421,-0.41716,-0.414055,0.000846,10,-4.155668,2025/01/30 23:02:46.002,2025/01/30 23:02:49.002,-0.280266,-0.280514,-0.281151,-0.279736,0.000534,10,-2.80649,2025/01/30 23:02:44.263,2025/01/30 23:02:46.002,4.997937,4.877238,4.761648,4.997937,0.101613,10,48.810532,2025/01/30 23:02:42.015,2025/01/30 23:02:50.007
2025/01/30 23:03:00.242,n,-0.415741,-0.41575,-0.417252,-0.414143,0.000921,10,-4.158629,2025/01/30 23:02:55.002,2025/01/30 23:02:58.002,-0.280529,-0.280469,-0.281063,-0.279114,0.000575,10,-2.805371,2025/01/30 23:02:55.002,2025/01/30 23:02:53.006,4.964884,4.860376,4.761648,4.977005,0.092896,10,48.634192,2025/01/30 23:02:59.004,2025/01/30 23:02:54.011
2025/01/30 23:03:10.246,n,-0.338543,-0.338382,-0.339432,-0.337475,0.00054,10,-3.433312,2025/01/30 23:03:07.014,2025/01/30 23:03:03.009,-0.202545,-0.203091,-0.204136,-0.201126,0.00084,10,-2.080269,2025/01/30 23:03:05.004,2025/01/30 23:03:02.004,2.354507,2.240364,2.137803,2.370174,0.099443,10,24.04488,2025/01/30 23:03:05.004,2025/01/30 23:03:04.014
2025/01/30 23:03:20.231,n,-0.339607,-0.338578,-0.339607,-0.337746,0.000575,10,-3.381001,2025/01/30 23:03:20.002,2025/01/30 23:03:16.011,-0.203602,-0.203171,-0.204403,-0.201569,0.000836,10,-2.028731,2025/01/30 23:03:16.011,2025/01/30 23:03:18.005,2.32575,2.251367,2.146489,2.330209,0.080829,10,22.505276,2025/01/30 23:03:15.006,2025/01/30 23:03:14.002
2025/01/30 23:03:30.235,n,-0.338097,-0.338666,-0.339432,-0.337921,0.00054,10,-3.387416,2025/01/30 23:03:24.004,2025/01/30 23:03:25.009,-0.204136,-0.203331,-0.204136,-0.202545,0.000646,10,-2.033066,2025/01/30 23:03:29.014,2025/01/30 23:03:25.009,2.341252,2.221238,2.135597,2.341252,0.09212,10,22.18501,2025/01/30 23:03:28.008,2025/01/30 23:03:30.003
2025/01/30 23:03:40.237,n,-0.338455,-0.338588,-0.339962,-0.337746,0.00063,10,-3.386693,2025/01/30 23:03:34.006,2025/01/30 23:03:35.013,-0.203339,-0.202934,-0.203518,-0.201481,0.000654,10,-2.030323,2025/01/30 23:03:39.002,2025/01/30 23:03:31.007,2.332564,2.258668,2.1511,2.358007,0.086478,10,22.598086,2025/01/30 23:03:32.012,2025/01/30 23:03:36.002
2025/01/30 23:03:50.242,n,-0.339607,-0.338711,-0.340141,-0.336857,0.000942,10,-3.387612,2025/01/30 23:03:46.004,2025/01/30 23:03:42.002,-0.202633,-0.203093,-0.204845,-0.20219,0.000876,10,-2.031923,2025/01/30 23:03:48.015,2025/01/30 23:03:44.010,2.32575,2.258759,2.109986,2.333709,0.084234,10,22.600274,2025/01/30 23:03:45.015,2025/01/30 23:03:47.009
2025/01/30 23:04:00.243,n,-0.340141,-0.339066,-0.340141,-0.337921,0.000781,10,-3.391748,2025/01/30 23:04:00.013,2025/01/30 23:03:55.004,-0.202988,-0.20326,-0.204044,-0.202011,0.000638,10,-2.033228,2025/01/30 23:03:55.004,2025/01/30 23:03:52.003,2.330209,2.223652,2.11438,2.330209,0.087852,10,22.249044,2025/01/30 23:03:55.004,2025/01/30 23:04:00.013
